NITA TRAVELS  —  SERVICE LOG  ·  SCHEDULED MAINTENANCE,,,,,,,,,,,
  Log each service event. Next Service KM and Next Service Date calculate automatically.,,,,,,,,,,,
  SERVICE STATUS SUMMARY  —  Auto-Calculated,,,,,,,,,,,
VEHICLE ID,REGISTRATION,LAST SERVICE,MILEAGE AT SVC,NEXT SVC KM,CURRENT KM,KM REMAINING,DAYS TO NEXT,STATUS,,,
CR01,ML 47 SY GP,21 Apr 2026,"92,000","112,000","111,688",312,2,🟡 DUE SOON,,,
CR02,ML 85 NG GP,21 Apr 2026,"113,000","133,000","128,443","4,557",31,🟢 OK,,,
CR03,MG 81 DR GP,30 Nov 2025,"90,000","110,000",-,"110,000",743,🟢 OK,,,
CR04,MN 81 MC GP,21 Apr 2026,"80,000","100,000","93,139","6,861",46,🟢 OK,,,
CR05,LP 66 LB GP,21 Apr 2026,"70,000","90,000","88,389","1,611",11,🟡 DUE SOON,,,
CR06,MR 65 SW GP / BR 47 TY ZN,25 May 2026,"85,500","105,500","92,935","12,565",85,🟢 OK,,,
CR07,MS 29 BZ GP,07 Jul 2026,"85,000","105,000","88,772","16,228",110,🟢 OK,,,
CR08,MW 07 YY GP / BT 23 JK ZN,08 Jun 2026,"67,000","87,000","79,337","7,663",52,🟢 OK,,,
CR09,MW 07 ZG GP / BR 43 XC ZN,20 Jul 2026,"65,000","85,000","65,457","19,543",132,🟢 OK,,,
,,,,,,,,,,,
  SERVICE LOG  —  Enter new service records below  (Vehicle ID + Date + Mileage required),,,,,,,,,,,
,,,,,,,,,,,
DATE,VEHICLE ID,REGISTRATION,SERVICE TYPE,MILEAGE (km),COST (R),INTERVAL (km),NEXT SVC KM,NEXT SVC DATE,NOTES,PAID BY,STATUS
20 Nov 2025,CR02,ML 85 NG GP,Normal Service,"70,000",3000,"20,000","90,000",20 Nov 2026,,,Paid
30 Nov 2025,CR03,MG 81 DR GP,Normal Service,"90,000",0,"20,000","110,000",30 Nov 2026,Serviced at 30 Nov 25 @ 90k,,Paid
20 Nov 2025,CR04,MN 81 MC GP,Normal Service,"45,000",3000,"20,000","65,000",20 Nov 2026,,,Paid
20 Nov 2025,CR05,LP 66 LB GP,Normal Service,"45,000",3000,"20,000","65,000",20 Nov 2026,,,Paid
20 Nov 2025,CR06,MR 65 SW GP / BR 47 TY ZN,Normal Service,"62,500",3000,"20,000","82,500",20 Nov 2026,Serviced at 20 Nov 25 @ 60k,,Paid
15 Jan 2026,CR08,MW 07 YY GP / BT 23 JK ZN,Normal Service,"45,000",3000,"20,000","65,000",15 Jan 2027,,,Paid
16 Jan 2026,CR09,MW 07 ZG GP / BR 43 XC ZN,Normal Service,"45,000",3000,"20,000","65,000",16 Jan 2027,,,Paid
21 Apr 2026,CR01,ML 47 SY GP,Normal Service,"92,000",3000,"20,000","112,000",21 Apr 2027,,4/21/2026,Paid
21 Apr 2026,CR02,ML 85 NG GP,Normal Service,"113,000",3000,"20,000","133,000",21 Apr 2027,,4/22/2026,Paid
21 Apr 2026,CR04,MN 81 MC GP,Normal Service,"80,000",3000,"20,000","100,000",21 Apr 2027,,4/23/2026,Paid
21 Apr 2026,CR05,LP 66 LB GP,Normal Service,"70,000",3000,"20,000","90,000",21 Apr 2027,,4/24/2026,Paid
21 Apr 2026,CR07,MS 29 BZ GP,Normal Service,"65,000",3000,"20,000","85,000",21 Apr 2027,,4/25/2026,Paid
25 May 2026,CR06,MR 65 SW GP / BR 47 TY ZN,Normal Service,"85,500",3000,"20,000","105,500",25 May 2027,,4/26/2026,Paid
08 Jun 2026,CR08,MW 07 YY GP / BT 23 JK ZN,Normal Service,"67,000",3000,"20,000","87,000",08 Jun 2027, ,6/8/2026,Paid
07 Jul 2026,CR07,MS 29 BZ GP,Normal Service,"85,000",3000,"20,000","105,000",07 Jul 2027,,,Paid
20 Jul 2026,CR09,MW 07 ZG GP / BR 43 XC ZN,Normal Service,"65,000",3000,"20,000","85,000",20 Jul 2027,,,Paid
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
,,,,,,"20,000",,,,,
