DATE,VEHICLE ID,REGISTRATION,PREVIOUS MILEAGE (km),CURRENT MILEAGE (km),DISTANCE DRIVEN (km),WEEK NUMBER,WEEKLY LIMIT,STATUS / WARNING,Column 1
29 Mar 2026,CR01,ML 47 SY GP,"86,846","86,846",-,13-2026,"2,000",✅ Within Limit,
29 Mar 2026,CR02,ML 85 NG GP,-,"107,347","107,347",13-2026,"2,000","⚠ OVER LIMIT BY 105,347 km",
29 Mar 2026,CR04,MN 81 MC GP,-,"74,623","74,623",13-2026,"2,000","⚠ OVER LIMIT BY 72,623 km",
29 Mar 2026,CR05,LP 66 LB GP,-,"64,874","64,874",13-2026,"2,000","⚠ OVER LIMIT BY 62,874 km",
29 Mar 2026,CR06,MR 65 SW GP / BR 47 TY ZN,-,"73,317","73,317",13-2026,"2,000","⚠ OVER LIMIT BY 71,317 km",
29 Mar 2026,CR07,MS 29 BZ GP,-,"60,468","60,468",13-2026,"2,000","⚠ OVER LIMIT BY 58,468 km",
29 Mar 2026,CR09,MW 07 ZG GP / BR 43 XC ZN,-,"47,828","47,828",13-2026,"2,000","⚠ OVER LIMIT BY 45,828 km",
05 Apr 2026,CR01,ML 47 SY GP,"86,846","88,558","1,712",14-2026,"2,000",✅ Within Limit,
05 Apr 2026,CR02,ML 85 NG GP,"107,347","108,294",947,14-2026,"2,000",✅ Within Limit,
05 Apr 2026,CR04,MN 81 MC GP,"74,623","76,505","1,882",14-2026,"2,000",✅ Within Limit,
05 Apr 2026,CR06,MR 65 SW GP / BR 47 TY ZN,"73,317","74,611","1,294",14-2026,"2,000",✅ Within Limit,
05 Apr 2026,CR09,MW 07 ZG GP / BR 43 XC ZN,"47,828","49,301","1,473",14-2026,"2,000",✅ Within Limit,
06 Apr 2026,CR05,LP 66 LB GP,"64,874","66,640","1,766",15-2026,"2,000",✅ Within Limit,
12 Apr 2026,CR01,ML 47 SY GP,"88,558","90,267","1,709",15-2026,"2,000",✅ Within Limit,
12 Apr 2026,CR02,ML 85 NG GP,"108,294","111,230","2,936",15-2026,"2,000",⚠ OVER LIMIT BY 936 km,
12 Apr 2026,CR04,MN 81 MC GP,"76,505","78,189","1,684",15-2026,"2,000",✅ Within Limit,
12 Apr 2026,CR05,LP 66 LB GP,"66,640","68,232","1,592",15-2026,"2,000",✅ Within Limit,
12 Apr 2026,CR06,MR 65 SW GP / BR 47 TY ZN,"74,611","75,999","1,388",15-2026,"2,000",✅ Within Limit,
12 Apr 2026,CR07,MS 29 BZ GP,"60,468","64,417","3,949",15-2026,"2,000","⚠ OVER LIMIT BY 1,949 km",
13 Apr 2026,CR08,MW 07 YY GP / BT 23 JK ZN,-,"54,435","54,435",16-2026,"2,000","⚠ OVER LIMIT BY 52,435 km",
13 Apr 2026,CR09,MW 07 ZG GP / BR 43 XC ZN,"49,301","50,251",950,16-2026,"2,000",✅ Within Limit,
19 Apr 2026,CR01,ML 47 SY GP,"90,267","91,770","1,503",16-2026,"2,000",✅ Within Limit,
19 Apr 2026,CR02,ML 85 NG GP,"111,230","112,837","1,607",16-2026,"2,000",✅ Within Limit,
19 Apr 2026,CR04,MN 81 MC GP,"78,189","79,165",976,16-2026,"2,000",✅ Within Limit,
19 Apr 2026,CR05,LP 66 LB GP,"68,232","70,126","1,894",16-2026,"2,000",✅ Within Limit,
19 Apr 2026,CR06,MR 65 SW GP / BR 47 TY ZN,"75,999","77,434","1,435",16-2026,"2,000",✅ Within Limit,
19 Apr 2026,CR07,MS 29 BZ GP,"64,417","65,965","1,548",16-2026,"2,000",✅ Within Limit,
